id,track_name,artist_ids,artist_names,album_id,album_name,release_date,duration,uri,playlist_offset
5LkZ5ACw4BpDe9Ow93rpbW,Enter The Loop,3v6xMwgOKzEYpZNalgtqhI,Witch Ripper,6VGF6UMdEThtTOQA3kWtBq,Enter The Loop,2022-12-06,474.2,spotify:track:5LkZ5ACw4BpDe9Ow93rpbW,444
6qIY6M6gxVnbt1TXDVMpnS,The House That Dripped Blood,5deWLZhciybEEFxfafcXTF,Witchthroat Serpent,5lVvH8bp4BQNUlu5kTBNOa,The House That Dripped Blood,2022-12-09,354.426,spotify:track:6qIY6M6gxVnbt1TXDVMpnS,445
2cYi8XcbDE7nFy2ip5V7v7,Play God,1ADo1iCVBg2hJgpKRCFajD,Words That Burn,25qhuGI1unDO9JCt6ThU8K,Play God,2022-12-08,304.166,spotify:track:2cYi8XcbDE7nFy2ip5V7v7,446
397ynt2c4semL1veoHqPJE,Morningside,48my7TgeWjDyB938F0PxHN,Worthy of the Crown,6Umw4vJ6fz9oXM2oNlQj5R,Morningside,2023-01-06,298.0,spotify:track:397ynt2c4semL1veoHqPJE,447
1t2tY1L24mCpsq7p8tdetF,Mass,"3R53qRJO7V9AGiTdcXBHOR,2etWd0NWBq5uYAXMe8yirS","Wothrosch,Niklas Kvarforth",64kNP60DVCK83R1F6iYz1x,Mass,2022-12-09,371.773,spotify:track:1t2tY1L24mCpsq7p8tdetF,448
0g3OHnSauWIER0fyezL8u0,Utterance from the Inhuman Tongue,5RXIMsPlvRJaQIMMivH8m7,Wretched Fate,1D46ELa84pRFEBbV6FoVXI,Utterance from the Inhuman Tongue,2022-12-23,184.846,spotify:track:0g3OHnSauWIER0fyezL8u0,449
6tdaPu8xDrBsQLV1Jfj1cF,Baby Steps,"6ql3PKpzPtJITCzZBebyaV,6XgIk9Y6qy6JCMZVime6DQ","XL LIFE,Bob Vylan",3WmyWjZ6EujeH4iaaKcW9G,Baby Steps,2022-12-16,262.541,spotify:track:6tdaPu8xDrBsQLV1Jfj1cF,450
62kdQaoGTQxcN0djfRBDvY,Between Eerly Howls of Wind,"0fm5nbILFe50ypzKNhz0yC,72unU2j2vnNWFiITlvx2nv","Yokai,Këkht Aräkh",6EeBs2B7H9qriTkQCyiITs,Between Eerly Howls of Wind,2022-12-27,408.542,spotify:track:62kdQaoGTQxcN0djfRBDvY,451
74sXPd0ETv04fkMznPOPBs,.. for those who wonder,7sIqQ156agqM5h9O0FgQLG,ZIION,6QAHYHCeRlMpOeMegZ21vy,.. for those who wonder,2022-12-16,252.0,spotify:track:74sXPd0ETv04fkMznPOPBs,452
3rGyUcqsb4jlmBg8vyjn0F,La sardana de Baal Hammon,"5id3QE9SvJCxWwHVa0zRcD,40sPlPGgON8MBAiW4CIFTP,5ZGCeFIgsJrHwl1c2tcFXg","Za!,Tarta Relena,La TransMegaCobla",2bknXwVkrXem2RuUON5dbm,La sardana de Baal Hammon,2022-12-16,464.175,spotify:track:3rGyUcqsb4jlmBg8vyjn0F,453
6Rq6CVzxpnPwmbjhFRAnZx,Lost - Nightcore,"6m6xd6SoWbsT1SD0oqcDmB,4H502w3aY9YWNIPWTx8adz,3TaRoxCRNfchmN7P0odIdE","ZeroMizKun Nightcore,Cherry 葵 Nightcore,Empty Trail",7GTWmviDWVqRGPJmrwCO7D,Lost (Nightcore),2022-12-30,207.662,spotify:track:6Rq6CVzxpnPwmbjhFRAnZx,454
233hmUcShoidknFfIHFxVk,Dice,0kkilltOyQcFZ7guDfQH1o,Zerostreet,3mxrOXbWM7UxJiTQEdJuNH,Dice,2022-12-02,230.855,spotify:track:233hmUcShoidknFfIHFxVk,455
0kPPHRuQQ3bCtRRhKEnr0x,720,"5pRCK6s2khsCmSJERmgDA5,1NhHx2cTyDwW8b9MgxOML7","bunsenburner,Bensnburner",3mLf5rVycP6FVVRmgeM9cc,poise,2022-12-09,368.5,spotify:track:0kPPHRuQQ3bCtRRhKEnr0x,456
2txjUgSb2gyZPgGjyky8Vp,DETONATION,2ql2HUwWCBWJ6mRPX3lIA4,cool sorcery,0XixPAkzKYOzXCUG17664x,The Definitive Step-by-step Dance Guide for Warlord Necromancers and Enthusiasts,2022-12-16,223.714,spotify:track:2txjUgSb2gyZPgGjyky8Vp,457
0sZr4ETXXInxKZeNHQdz52,Plagiarizer,3dbSL43i8580GLWJRknu9w,thanks for coming,7MZw0rg127xSEM1CXDkIIh,You Haven't Missed Much,2022-12-12,123.341,spotify:track:0sZr4ETXXInxKZeNHQdz52,458
113WFeBIN1isSOGDFOmbpA,Actions Diagonales,5HcGgVIoLDs8PbHbsiU3ov,vromb,4FPtZZA1WHSmKiq61WkRSU,Polygonie,2022-11-14,257.332,spotify:track:113WFeBIN1isSOGDFOmbpA,459
4HJJyFnQKbGwPYpWCuhGqv,Middle Seat Blues,6SiyKSeJo6gcsS2NvuAbsl,zebrahead,1CyQE3ghzFgt9RBF1Ga6R4,Middle Seat Blues,2023-01-06,190.075,spotify:track:4HJJyFnQKbGwPYpWCuhGqv,460
3tJf7lIA4BBDC4xKc8eIY3,Hasta El Final,7sEGvzHN4AHk2dsVZ5lnWD,¡Pendejo!,7wBIIOiBrUszsuOmXJQIuW,Hasta El Final,2022-12-09,242.586,spotify:track:3tJf7lIA4BBDC4xKc8eIY3,461
54ELExv56KCAB4UP9cOCzC,Gato de Noche,"12vb80Km0Ew53ABfJOepVz,4q3ewBCX7sLwd24euuV69X","Ñengo Flow,Bad Bunny",2GS2h80Dp8rFdGEa0j0JhH,Gato de Noche,2022-12-22,227.013,spotify:track:54ELExv56KCAB4UP9cOCzC,462
54eJutFjTfYsePRumRpCDm,Последний вечер,6gXQBuV1gOdNwAWpQ2tBnS,Трибунал,06TsXSTmf31Or3e7Ya0QoM,Последний вечер,2022-12-20,224.437,spotify:track:54eJutFjTfYsePRumRpCDm,463
