id,track_name,artist_id,artist_name,album_id,album_name,release_date,duration,uri,playlist_offset
2xyeWOhbVAHCvFlpsmE0KD,Be My Death Cult,6mPxn8ImLflIQ8bYihQMFp,Calabrese,7qyO8Ty9g7rFDNkZTnuouZ,Death Cult,2022-06-17,181.954,spotify:track:2xyeWOhbVAHCvFlpsmE0KD,118
4BgseHlXIOziSWxWUx2vIh,Post Truth,39L1UR8o0EVispUHJPJL9s,Light Creates Shadow,6lHfg1GVQ5DsdXRpz6AwVN,"Ghosts Pass Through, Running from the Body",2022-07-01,285.173,spotify:track:4BgseHlXIOziSWxWUx2vIh,119
2BSNIBEQvEr8bxUwWToucS,Ziggurats Of Mesopotamia,1kVyqlhXybTF1PixOp5stJ,Scum of the Earth,12tZdYkPG8TJDi9DgmNNIC,Ziggurats Of Mesopotamia,2022-07-15,213.185,spotify:track:2BSNIBEQvEr8bxUwWToucS,120
17nKnxVj41yor7EalD5iLh,Pass the Glue,1Sk45af6ymdv4nyw3ca6f4,Child Bite,33kyU2rwnlqjaHrDwrAxmf,Split,2022-07-01,117.241,spotify:track:17nKnxVj41yor7EalD5iLh,121
6b1sFOKgciua6WIs3mbpFt,Erect For Dystopia,1Sk45af6ymdv4nyw3ca6f4,Child Bite,33kyU2rwnlqjaHrDwrAxmf,Split,2022-07-01,287.253,spotify:track:6b1sFOKgciua6WIs3mbpFt,122
6rja7VgxU5aB2Wv0uFVRfV,Addicted to Violence,6hwtkhYiDooPPfKqzumCkb,Hell Fire,3xYUHRdFCq1f5tgqmpKi7u,Addicted to Violence,2022-07-14,165.404,spotify:track:6rja7VgxU5aB2Wv0uFVRfV,123
2xunrCLt1MnQsAOl6Vtw9t,Pandemonium,4MfQTKjLQSOdiYCiYGGg11,Tad Morose,32N00EOnIoq7Y83lsoxy7I,Pandemonium,2022-07-08,206.0,spotify:track:2xunrCLt1MnQsAOl6Vtw9t,124
5Lfy4ryUwvqRpzGrx4taqh,The Last The Worst,00sR4GlQWcupTgTlsZb0hK,Bring Her,6rwrX6VbnpzfaL4LaY8cNJ,The Last The Worst,2022-07-06,218.393,spotify:track:5Lfy4ryUwvqRpzGrx4taqh,125
0dMUo4CtkROEeMpQQSAPBh,The Bite,2Ah9OuOj7B57gPD1cbwiaE,Municipal Waste,5oiOILICZyEvy5WJdkVUjS,Electrified Brain,2022-07-01,97.626,spotify:track:0dMUo4CtkROEeMpQQSAPBh,126
4f4nryJRvFpMBj1BWgi9N8,Most Severe Crisis,32k6gzIWWn2zDaw9pIj79q,Wizzo,7l8K8DpFRBigBVZbVqVaBO,Most Severe Crisis,2022-06-30,289.519,spotify:track:4f4nryJRvFpMBj1BWgi9N8,127
