id,track_name,artist_ids,artist_names,album_id,album_name,release_date,duration,uri,playlist_offset,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
5gZ29XT8xSsdCEflTfWUyy,Committed to the Con,53RsXctnNmj9oKXvcbvzI2,Alexisonfire,0mgXa4Wapb1oanh0KgVyPr,Otherness,2022-06-24,241.72,spotify:track:5gZ29XT8xSsdCEflTfWUyy,2502,0.00288,0.389,0.848,0.86,0.0749,-4.04,0.063,139.934,0.295
1NcoZSUAVAQVVIIXSyACbp,Er Eb Os,"3FpCFpdoJOrGuR3G7UBgC7,53LVoipNTQ4lvUSJ61XKU3","Lustmord,MONO",6cGqMuGBVMvH4itisLOuld,The Others (Lustmord Deconstructed),2022-04-01,570.004,spotify:track:1NcoZSUAVAQVVIIXSyACbp,2503,0.246,0.189,0.138,0.917,0.106,-16.158,0.0406,111.891,0.033
6ItvT4ypAzCh1ac3OYsn3J,Prime,"3FpCFpdoJOrGuR3G7UBgC7,78OKNrjc3BvniYTqvpOp6P","Lustmord,Zola Jesus",6cGqMuGBVMvH4itisLOuld,The Others (Lustmord Deconstructed),2022-04-01,255.013,spotify:track:6ItvT4ypAzCh1ac3OYsn3J,2504,0.134,0.182,0.591,0.952,0.111,-14.082,0.0564,89.941,0.0378
0xMRO3Y01n8jBIB9dWoweb,Primal [State of Being],"3FpCFpdoJOrGuR3G7UBgC7,6fuALtryzj4cq7vkglKLxq","Lustmord,The Ocean",6cGqMuGBVMvH4itisLOuld,The Others (Lustmord Deconstructed),2022-04-01,649.876,spotify:track:0xMRO3Y01n8jBIB9dWoweb,2505,0.00717,0.359,0.373,0.836,0.111,-13.064,0.0394,115.028,0.0352
3M48mLjTHfMx6ogQfTVE9r,The Other Son of Odin,0WPCPYm5IDNtQjuJOGNPcy,Brothers of Metal,7lmJX2dNeyIUSGS4Mq7P81,The Other Son of Odin,2022-03-18,205.626,spotify:track:3M48mLjTHfMx6ogQfTVE9r,2506,0.000807,0.403,0.952,0.00101,0.325,-4.534,0.081,174.974,0.517
76nPiuy1rkMFQqWDFaScP4,Oui Oui Marie,6ZK2nrW8aCTg8Bid7I7N10,Chelsea Wolfe,7L7IKHnLWh6gIIYNDnZtQ8,"Oui Oui Marie (From the Original Motion Picture ""X"")",2022-03-11,375.0,spotify:track:76nPiuy1rkMFQqWDFaScP4,2507,0.514,0.192,0.485,0.000959,0.334,-9.548,0.0289,77.887,0.244
5jNsmxdLhNy1atT5D1F40w,Our Chosen Path,3LDUkb8YRJHCN4ske4ZZTs,FREJA,3fLqlJx413SLIav9IRRTCg,Our Chosen Path,2022-01-20,358.782,spotify:track:5jNsmxdLhNy1atT5D1F40w,2508,6.9e-05,0.223,0.967,0.875,0.303,-4.068,0.0674,157.28,0.0664
38DOu1skvnpVtvCjRmEkZb,Immortal Black Art,3R75IXAhihS5nF1ygL5jjV,Ceremonial Castings,1qP6s2KOGsTLCoyrzogY83,Our Journey Through Forever,2022-02-25,484.658,spotify:track:38DOu1skvnpVtvCjRmEkZb,2509,0.000151,0.316,0.941,0.873,0.132,-9.258,0.169,100.082,0.0369
0YJhLrNjfPQZYjppLXhrc9,sunset girl,04tDiz6koPFuo5JBZyLgFg,Sadness,0W3PdCZa9Sgw5Wpd5HR4fc,our time is here,2022-04-03,215.378,spotify:track:0YJhLrNjfPQZYjppLXhrc9,2510,9.05e-05,0.206,0.975,9e-06,0.0891,-3.216,0.137,113.986,0.109
5TWLMxYoKc5vV2IrXClh5S,Law of the Blade,5fIJRhNbLYysT9YiOY7O9G,Nocturnal Graves,5omilY88HDwjBuGX0evf4T,An Outlaw's Stand,2022-01-07,312.915,spotify:track:5TWLMxYoKc5vV2IrXClh5S,2511,6.19e-06,0.444,0.938,0.673,0.185,-9.896,0.0713,109.98,0.322
