id,track_name,artist_id,artist_name,album_id,album_name,release_date,duration,uri,playlist_offset
7mBv3LFJyhSuJotkJjb8ng,Tomorrow,2iT2Fmot4VzWgdOTgp3j9M,White Lung,2GOtfNmU1wjE1JkTdL7ylu,Premonition,2022-12-02,176.704,spotify:track:7mBv3LFJyhSuJotkJjb8ng,9493
2BNUo0Dfapbce2luAZgusE,Summoning the Final Conflagration,6B66dOhOPsCXNfoA1OcUUM,Act of Impalement,4wWomC7KIo9bQLfY3mgL9a,Summoning the Final Conflagration,2023-01-06,305.236,spotify:track:2BNUo0Dfapbce2luAZgusE,9494
7gHAAPvsTI7hqwop29S4UF,Bodies as Driftwood,2ZBAmlpAv7mVb9ZqUuHLSg,Downfall Of Gaia,0uddrmVmQ7WhPRHazgEMbz,Bodies as Driftwood,2023-01-19,280.5,spotify:track:7gHAAPvsTI7hqwop29S4UF,9495
5hTRa6cl2MlpkrYyHO5zbR,Taurus,2SRIVGDkdqQnrQdaXxDkJt,Haken,2ze4aFb1a3SMNIQ5qL1aEj,Taurus,2023-01-18,288.973,spotify:track:5hTRa6cl2MlpkrYyHO5zbR,9496
170ac5ybwcNbsOpJbvPAdc,Below the Lake,4TOivazrCvKsCDtCWuT2fW,Soulmass,3NvFvdwjq7w5MB3eO5bHpx,Below the Lake,2023-01-13,593.479,spotify:track:170ac5ybwcNbsOpJbvPAdc,9497
1C3lcOzWZu8sGKVAQYT2Gq,Here My Rawr,2ygqaFuDZNFWlMrDUMABxO,My Octopus Mind,2HG72RwOEdqOTQ5v8omfMv,Here My Rawr (Exp496184),2022-12-02,493.093,spotify:track:1C3lcOzWZu8sGKVAQYT2Gq,9498
1QQ58Y6hN2DObRs5mDFFbG,Broken Vein,5CszF8X0mZXt8Tck93HJuv,SCALP,6d7ZfqtsyqbZAsEp9n9tFk,Black Tar,2023-01-13,117.09,spotify:track:1QQ58Y6hN2DObRs5mDFFbG,9499
6LGRkaZ1JFybIu5t1HUAAK,Witnesses,6yhDRZPfZ04jdgrYaGX7nu,Ashen Cycle,2BueUdOpsSmvPjNyg9wUpw,The Inevitable,2022-12-02,307.0,spotify:track:6LGRkaZ1JFybIu5t1HUAAK,9500
3LT2cBxL6AqM1q95XzEGq4,The Faith Healer,71vVmHeNgCVSa5SVmfvscU,Saxon,44Q8SWg49tAyCu4VzfvVA9,The Faith Healer,2023-01-16,388.234,spotify:track:3LT2cBxL6AqM1q95XzEGq4,9501
4Hh7MvbNLXwxo7DUbbnoRO,Six Feet Under,4k3Z3eYOjePCjaNSvx6IHM,All Wasted,1xUVkbQI81VAnYWJvdDuUZ,Six Feet Under,2022-12-02,239.746,spotify:track:4Hh7MvbNLXwxo7DUbbnoRO,9502
40UDEyzd76TVGGwXRFCjKZ,The Inevitable,6yhDRZPfZ04jdgrYaGX7nu,Ashen Cycle,2BueUdOpsSmvPjNyg9wUpw,The Inevitable,2022-12-02,281.5,spotify:track:40UDEyzd76TVGGwXRFCjKZ,9503
1c3wTOwPg99IDyhMmciSnl,Lilac,1G4tFcZMwrCyOzUTReIvqO,The High Cost of Playing God,77G0NYVsUMy7R4p5VOjpxc,Splendor//Lilac,2023-01-13,222.567,spotify:track:1c3wTOwPg99IDyhMmciSnl,9504
7EMTXHBfxLa6MzRSn7o0R7,Rubble Home,1i5rlthy5CmAYWaFOB0jhz,Full Of Hell,7A8E7nZgoKwaCErhqndtpj,Rubble Home,2023-01-17,376.888,spotify:track:7EMTXHBfxLa6MzRSn7o0R7,9505
6qWpABFwwxSyZnsfNTMgzO,The Witch Hunter,3uIgLG971oRM5fe6v8lvQS,Insomnium,7zZFNzXlfiKKanzX0qZ2Ua,The Witch Hunter,2023-01-17,343.693,spotify:track:6qWpABFwwxSyZnsfNTMgzO,9506
7Jtj0sbXwW27mI1dHDhDUY,Immortal Love - Live Acoustic Recording,2RJ0cQlHOmiZ7JuHBwgUbV,Vampires Everywhere!,1adft8tKTTQIQmDmqeKOzH,Immortal Love (Live Acoustic Recording),2023-01-10,274.143,spotify:track:7Jtj0sbXwW27mI1dHDhDUY,9507
5xb7gV2Bie6s9keItfOn7d,Seth,2X3qFQFHkm1sOGo5ppIoSD,Ad Infinitum,5h9AT4vRfqW7R355w1c423,Seth,2023-01-18,224.226,spotify:track:5xb7gV2Bie6s9keItfOn7d,9508
4lIiB9blMzZyLwWshsuorj,Ashes,2YnNckxu46x5BE25WaMMVG,God Disease,3t0boQuST6oNU4v6ClwCBp,Ashes,2023-01-12,336.94,spotify:track:4lIiB9blMzZyLwWshsuorj,9509
12FIKVn0QoyRmLZ03Y1CeQ,Riot,6yhDRZPfZ04jdgrYaGX7nu,Ashen Cycle,2BueUdOpsSmvPjNyg9wUpw,The Inevitable,2022-12-02,191.0,spotify:track:12FIKVn0QoyRmLZ03Y1CeQ,9510
39Oka19PrtedqaiHnc3iGz,Break The Lie,6yhDRZPfZ04jdgrYaGX7nu,Ashen Cycle,2BueUdOpsSmvPjNyg9wUpw,The Inevitable,2022-12-02,298.5,spotify:track:39Oka19PrtedqaiHnc3iGz,9511
7DMEsIjLfp5azBFQJ3bJ53,Existence Consumed,6y5qmA1uc4ehixg5As0Qkq,Defy The Curse,5Zg53yfShfCZY90QjNjffc,Horrors of Human Sacrifice,2023-01-13,127.786,spotify:track:7DMEsIjLfp5azBFQJ3bJ53,9512
6Tc1riHPstwYoafF9HfZSU,Avarice,2etNWORcmPZZBKxcyt6dF4,For I Am King,28tERxoFL9KJwfshMXpN2S,Crown,2023-01-19,311.436,spotify:track:6Tc1riHPstwYoafF9HfZSU,9513
2PFLi6pp9JT5rm3gzpbRBp,A Fate Worse Than Home,1nBvZVKzPWQlNYDWo7woJ9,Iravu,7HuPCIQrNv4ANuh7BWp8hd,A Fate Worse Than Home,2023-01-06,488.066,spotify:track:2PFLi6pp9JT5rm3gzpbRBp,9514
4OuTWVbZp1KIegWoHWRUYL,Sasabonsam,76MMXRm4VwkwlptuOPeRX1,Skinflint,2jDNau9OAjDcJT28Eihvar,Sasabonsam,2023-01-16,438.144,spotify:track:4OuTWVbZp1KIegWoHWRUYL,9515
2gZbOX57TMIBDRCAJrggOP,Ghost Town,5eq1b8QdJPz9PfnZmZndtZ,Last in Line,6q6eZbyIdJaqvGB2cG4RJT,Ghost Town,2023-01-20,271.565,spotify:track:2gZbOX57TMIBDRCAJrggOP,9516
5Vl30DcSMvRb9s4Z3vg6Ua,Lava from the Sky,5bPOuhK95xuq1UKdiqsysz,Hypno5e,5U8y2Klf0uIisZHS42uCfS,Lava from the Sky,2023-01-18,504.75,spotify:track:5Vl30DcSMvRb9s4Z3vg6Ua,9517
1B6sUZuf82LT4D4uOr7IVM,Dopey,4fpwOzxFRMVGfd197dKIdY,Boldy James,1XO6GVqyUmy3AVOclmVoO3,Indiana Jones,2023-01-20,110.133,spotify:track:1B6sUZuf82LT4D4uOr7IVM,9518
1juHZ1MvbLIisGwfK8XRGm,Subway Anthem,4W63tIuqeBb0IFT3dgtudf,Atena,0xWBUjwAcRqDW9cSOmlvzt,Subway Anthem,2023-01-19,244.987,spotify:track:1juHZ1MvbLIisGwfK8XRGm,9519
0tjJrqnKroXZCf3vKKUAJH,Mas Poder,01U6wng00lcRJt0j2W0O3x,Leprosy,6Z2kZYCpLvQ6N6lw8dmWNg,Mas Poder,2023-01-18,105.332,spotify:track:0tjJrqnKroXZCf3vKKUAJH,9520
3fAqqrLZBQ7z3ndmzroOuF,The Songs of the Whales,20iCHO60oXbQAwEh65EGJm,Isole,0cd0fXVMUz8e4YfxNfsENf,The Songs of the Whales,2023-01-20,361.407,spotify:track:3fAqqrLZBQ7z3ndmzroOuF,9521
0YfotAe6cmIICQWqo1nMBw,Ballroom Etiquette,4oV5EVJ0XFWsJKoOvdRPvl,Guided By Voices,402DM1nep9yAvAWc269QcT,La La Land,2023-01-20,168.44,spotify:track:0YfotAe6cmIICQWqo1nMBw,9522
6Ob8OB78fzTYUs9GUVvzrT,"Sit Down, Let Me Tell You a Story.",7AZwAitWq1KcFoIJhRWb6V,Deerhoof,1o16zgpmVi9uWECUI9jCCk,"Sit Down, Let Me Tell You a Story.",2023-01-18,125.867,spotify:track:6Ob8OB78fzTYUs9GUVvzrT,9523
3TOdNmwhm31dWUqwkU11qU,Hlaf,343ATWFlCVF1Z3PyDwFEXp,Smote,21rhlAXckvsgFaGNGe0FMi,Hlaf,2023-01-19,407.979,spotify:track:3TOdNmwhm31dWUqwkU11qU,9524
5jugjQMGL2QNFdxfl12o5G,Died in My Twenties,2MizZlEPFQHeR3MndOyYoQ,THE HARA,53dbOtnbcErPBsWtvaVFM2,Died in My Twenties,2023-01-20,187.01,spotify:track:5jugjQMGL2QNFdxfl12o5G,9525
0pUR4yiBKZ3u9DV4PtkxiX,Let Me Love You,0AD4odMWVQ2wUSlgxOB5Rl,Jeff Beck,43gPpVcj5z3PAA1dtcCxdX,"Jeff Beck Group: Live BBC Radio Session, 29 June 1972",2023-01-18,380.432,spotify:track:0pUR4yiBKZ3u9DV4PtkxiX,9526
1GFcT0MVzHqg8cNya9qMBv,My Dark Flight,4Ri061lbxtCwNoqDnprznA,Bobaflex,2xmMQCOXbV5A8fktkYiD4g,My Dark Flight,2023-01-20,243.593,spotify:track:1GFcT0MVzHqg8cNya9qMBv,9527
79qTIZbsRB4AQJuhsAGZVX,Enjoy The Ride,2j823DNzlTxAdfZvwvx3lb,The Ones You Forgot,10z5Ebt3fEDQte3v5eHaYq,Enjoy The Ride,2023-01-20,210.533,spotify:track:79qTIZbsRB4AQJuhsAGZVX,9528
1eeSigYZoyiXa7uWRerIZy,Dancing with Flames,70aIXAYbZd48wRhXJfa39r,Bloody Falls,0yBpqgkQRw3KThOUjvU59R,Dancing with Flames,2023-01-11,345.782,spotify:track:1eeSigYZoyiXa7uWRerIZy,9529
337ozPp0qC9WVOtqeA6vW0,Little Birds - Live [2014],2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,6W06B6AqeuOXBAIKGqbGHT,Little Birds,2023-01-10,373.975,spotify:track:337ozPp0qC9WVOtqeA6vW0,9530
0pQCKSmcU1eMidix34ue3w,Granite,2n2RSaZqBuUUukhbLlpnE6,Sleep Token,3aTHaMQjrjx1SYd33qWToC,Granite,2023-01-19,225.426,spotify:track:0pQCKSmcU1eMidix34ue3w,9531
4hHlx4d5lT1FI9wE3PLV9k,Rock & Roll Gangsterz,3sFLITO46GtNC7UON2ER2w,Ghettometal,4FZLnPdM8lOTyLISds0B13,Rock & Roll Gangsterz,2023-01-14,192.167,spotify:track:4hHlx4d5lT1FI9wE3PLV9k,9532
4RTNh02Wxf7m79619rDUdq,An Equivalent Exchange,3quix4i6sItfYHTRy6KDDI,Sleepsculptor,1n1hloZKE2ICCLtrsh6NzU,An Equivalent Exchange,2023-01-18,227.849,spotify:track:4RTNh02Wxf7m79619rDUdq,9533
1TFaqQPiZpF6ZxA0Jk2uGI,Grey March,7lAQhH0pB29uCc32uYjXTG,Timofey Zelenski,31wkcSj65XDy7fqFPFnDWo,Apocalyptic War,2023-01-16,87.379,spotify:track:1TFaqQPiZpF6ZxA0Jk2uGI,9534
2UqR9UQVUr10V5x6Lgm4zx,I Am the Storm,7aetQGX0sd3swXqUIWurrE,Liv Sin,4d3DjcHe2rDROqdP5elLr5,I Am the Storm,2023-01-20,307.68,spotify:track:2UqR9UQVUr10V5x6Lgm4zx,9535
2V6wfaVlOIUufPxS696toQ,Hardenbergia,0mQrna1ecAw9h40iH5uSks,OCTAVIAGRACE,3sMMqFtbHkhOi3N88Fb777,Hardenbergia,2023-01-14,361.208,spotify:track:2V6wfaVlOIUufPxS696toQ,9536
0QbDjGrtcjo2Hd18GNNYS2,Soul Reaver,0ppFsYRZGoGYxL12PSjS2q,Silver Bullet,3ObWQIZJYt6SbEV3wJQotR,Shadowfall,2023-01-20,316.126,spotify:track:0QbDjGrtcjo2Hd18GNNYS2,9537
33SBRQHa8hhkbqKKbmCbfT,The Last Song,34uGMERnU9XHnmQDnK03Gj,Lillasyster,03Zdsc3DyDzo7F9LBJJhBq,Stormtrooper Boombox,2023-01-20,159.666,spotify:track:33SBRQHa8hhkbqKKbmCbfT,9538
2PdkKj2wpK2kqQ0hstJmPu,Black Swan,1Hr0GjUPxbMDrkRFhXA7p4,Block of Flats,7d2gBxXcc7dmJ1mEKwxyC4,Black Swan,2023-01-20,195.986,spotify:track:2PdkKj2wpK2kqQ0hstJmPu,9539
2K6MhfrmfEUVZS1mbkJU6Q,Shadow Figure,5xvWaAraKZdkRbY2qBip5c,Big Laugh,4NX1NSfS2uwaLpV6tlJUfr,Shadow Figure,2023-01-10,151.613,spotify:track:2K6MhfrmfEUVZS1mbkJU6Q,9540
4bIjq1MRCCNTcsqjgIlZIV,Loser,37gTAIe8kJ5xGtkJLsfFgP,Crooked Teeth,2RS0pVQ2TYVDkM5HR6N5cY,Loser,2023-01-20,155.162,spotify:track:4bIjq1MRCCNTcsqjgIlZIV,9541
363qOiSXNe92VphuJl5nWc,Kahlschlag - Single Edit,5ufIgpulK6MoU3jk9RNOtB,Rotor,62dNeTAOgEKfRlJKcLoBH6,Kahlschlag,2023-01-13,378.11,spotify:track:363qOiSXNe92VphuJl5nWc,9542
